Designator,Footprint,Quantity,Value,LCSC Part #
C1,402,optional,100n,Not mounted
"C10, C9",402,2,12pF,
"C11, C15, C6",1206,3,1nF 2kV,
"C12, C13, C14, C16, C18, C19, C20, C21, C22, C23, C27, C28, C29, C4, C5, C7, C8",402,17,100nF,
"C17, C2, C26",603,3,10uF,
C3,603,1,47nF,
"D1, D2, D3",603,3,LED,
D4,DO-214AA-2,1,SK54-3G ,
F1,1206,1,3A,
FB1,402,1,7427927140,
"J1, J2, J3",634108150321_RJ45,3,634108150321,
J4,PinSocket_2x20_P2.54mm_Vertical,1,ESQ-120-23-T-D,
J5,61201621621_2x8-2.54,1,61201621621,
J6,PinHeader_1x04_P2.54mm_Vertical,optional,,
J7,01X02_5mm_pitch,1,Conn_01x02,
"R1, R2",603,optional,3.9k,Not mounted
"R10, R11, R14, R16, R17, R6, R7, R8, R9",603,9,75R,
R12,603,1,47R,
R13,603,1,1M,
R15,603,1,6k2_1%,
R18,603,1,470k,
R3,603,1,0R,
"R4, R5",603,2,10k,
U1,SOIC127P600X175-8N,optional,CAT24C256,Not mounted
U2,SOIC127P1030X265-28N,1,SN74ABT5402ADWR,
"U3, U4, U6",7490100110A,3,7490100110A,
U5,QFN40P600X600X90-49N-D,1,IP175G,
Y1,ECS327TXO33TR,1,X322525MOB4SI_25MHz,
